Species,Type,WindExposition,Slope,Ruggedness,Roughness,Elevation,pH,Longitude,Latitude,Drainage,DistanceToTheCoast,DistanceToNearestRiver,CalciumContent,Aspect Eastness,Aspect Northness,DistanceToTheRoad,Possum,RedDeer,Rats,BIOEnd1,BIOEnd2,BIOEnd3,BIOEnd4,BIOEnd5,BIOEnd6,BIOEnd7,BIOEnd8,BIOEnd9,BIOEnd10,BIOEnd11,BIOEnd12,BIOEnd13,BIOEnd14,BIOEnd15,BIOEnd16,BIOEnd17,BIOEnd18,BIOEnd19,Model
Halocarpus biformis,I,1.0887,23.2816,36.3608,118.0226,888.5370,4.7483,170.9196,-43.1728,4.4020,39979.9648,1500.8580,1.3305,-0.0362,-0.1747,10100.0908,0.9173,-0.8332,-0.9965,8.8716,7.6507,0.4023,3.6049,19.3547,0.3898,18.9648,8.5524,9.5510,13.5211,4.2953,2995.6453,431.7039,121.4742,36.5195,992.3327,530.3012,711.0142,705.3668,RFEnsemble
Halocarpus biformis,Gr,0.0845,13.8562,21.3975,71.3543,506.4872,-0.4826,-2.1674,-1.4151,-0.0514,3594.2734,46.0968,-0.0443,-0.0950,-0.4054,8089.3892,-0.0765,-0.3806,0.0035,-2.8735,-1.6059,-0.0583,0.1177,-3.1704,-1.9841,-1.1866,-2.2909,-3.5912,-2.7034,-3.0070,1374.3937,175.7591,70.6520,-7.5989,425.2529,275.8121,354.0516,270.5177,RFEnsemble
Quintinia acutifolia,D,1.0246,12.2583,19.6289,61.9905,439.0927,5.1632,174.5078,-40.4183,4.7183,38021.3711,1382.7957,1.4325,-0.1269,0.0649,2101.0610,0.9963,-0.6132,-0.9999,12.1295,9.2655,0.4549,3.5593,23.0341,2.6452,20.3890,10.8573,14.0029,16.7290,7.6244,1740.4468,279.8510,52.7022,45.6857,615.8593,267.5361,371.7661,479.3147,RFEnsemble
Quintinia acutifolia,Is,0.1262,11.0019,19.6176,64.7810,414.5046,0.3829,2.4082,2.1427,0.8840,17626.1680,1044.2432,0.5302,0.7217,0.6915,7279.6699,0.2654,0.6185,0.0000,2.2651,1.0462,0.0328,0.2919,1.9996,2.3527,1.5451,2.0569,3.4400,2.0038,2.5574,1483.8594,207.5328,76.6244,6.4692,478.1386,291.9834,428.4901,263.0160,RFEnsemble
Quintinia acutifolia,Ds,0.1040,8.3201,13.4811,43.4460,252.0625,0.4722,2.4374,2.0989,0.6390,23944.0605,993.2360,0.6064,0.7021,0.6976,2773.7683,0.0850,0.7899,0.0001,1.4951,1.0088,0.0213,0.2605,1.5741,1.6625,1.6714,1.4629,1.8177,1.4291,1.6533,638.6780,96.1688,25.7053,6.6147,213.5545,114.6995,156.1936,144.3708,RFEnsemble
Quintinia acutifolia,I,1.0344,23.1353,36.3469,117.6203,705.6849,4.6097,171.0901,-42.4629,4.3940,23989.1328,1260.0281,1.4435,-0.0300,-0.0077,9000.5703,0.9641,-0.7857,-1.0000,10.1071,8.0314,0.4200,3.5289,20.4950,1.3425,19.1525,10.0890,10.1674,14.6715,5.6273,4365.5615,607.5227,188.5079,33.6567,1424.7437,792.6420,1056.4423,989.1202,RFEnsemble
Quintinia acutifolia,Gr,0.0098,10.8771,16.7181,55.6298,266.5922,-0.5534,-3.4177,-2.0447,-0.3243,-14032.2383,-122.7676,0.0110,0.0970,-0.0726,6899.5093,-0.0322,-0.1726,-0.0000,-2.0224,-1.2341,-0.0349,-0.0304,-2.5391,-1.3027,-1.2365,-0.7683,-3.8355,-2.0575,-1.9970,2625.1147,327.6717,135.8057,-12.0290,808.8844,525.1059,684.6761,509.8055,RFEnsemble
Litsea calicaris,D,0.9719,7.7814,12.9500,40.0295,138.0421,5.4243,175.7858,-37.6725,4.2248,10599.5527,1246.6090,1.6282,0.7142,0.0833,742.6711,0.9954,0.3686,-1.0000,14.9407,9.0207,0.4679,3.2844,24.9368,5.6665,19.2703,13.2458,17.1472,19.2039,10.8136,1866.2401,310.1280,51.6265,48.5083,688.1309,266.7114,378.2254,572.5742,RFEnsemble
Litsea calicaris,Is,0.1070,7.3594,11.9340,38.0955,231.3694,0.3520,1.3366,1.6350,0.9467,24803.8438,1386.5533,0.6434,0.6729,0.7244,2025.2178,0.0932,0.9710,0.0439,1.5209,1.1744,0.0235,0.2625,1.4951,1.8345,1.8626,1.5805,1.5826,1.3652,1.7309,436.0420,60.1911,20.3536,7.1925,141.4475,79.4128,90.6982,122.0041,RFEnsemble
Litsea calicaris,Ds,0.0967,5.8842,9.9521,30.5777,86.7341,0.1707,1.5377,1.2701,0.9933,8168.9268,1243.6481,0.6107,0.5315,0.4479,947.8764,0.0953,0.9296,0.0000,0.6810,1.0657,0.0202,0.2325,0.8552,1.2929,1.6671,0.7758,0.8258,0.6167,0.8766,341.9897,53.5007,15.3552,5.9918,121.8591,57.6843,68.3066,114.9213,RFEnsemble
Litsea calicaris,I,1.0184,9.5264,15.4349,48.5674,325.7833,5.3523,175.4911,-39.0982,4.3779,31814.0723,1482.8544,1.5535,-0.1497,0.0004,1459.6338,0.9958,-0.2389,-0.9992,13.3013,8.8571,0.4540,3.3989,23.7198,4.2271,19.4927,11.7607,15.4381,17.7223,9.0406,1544.8796,249.0734,45.6182,46.6232,555.1570,229.4921,316.3340,454.6422,RFEnsemble
Litsea calicaris,Gr,0.0466,1.7450,2.4848,8.5379,187.7411,-0.0720,-0.2947,-1.4257,0.1531,21214.5195,236.2454,-0.0747,-0.8638,-0.0829,716.9627,0.0003,-0.6075,0.0008,-1.6394,-0.1636,-0.0139,0.1145,-1.2170,-1.4394,0.2225,-1.4851,-1.7091,-1.4816,-1.7730,-321.3605,-61.0546,-6.0082,-1.8851,-132.9739,-37.2193,-61.8913,-117.9319,RFEnsemble
Rhopalostylis sapida,D,1.0565,12.2032,19.4922,61.3337,477.0931,5.2519,175.7245,-39.2325,4.5823,41920.6016,1332.8571,1.4350,0.0976,0.0809,1986.4104,0.9966,-0.6037,-0.9987,12.4043,8.6530,0.4461,3.4443,22.8934,3.5070,19.3865,10.8706,14.5303,16.8934,8.0998,1650.2175,261.2549,52.1393,44.3915,584.5648,251.9732,342.3907,480.5139,RFEnsemble
Rhopalostylis sapida,Is,0.0958,6.1973,10.2550,32.2090,103.3068,0.2587,1.3238,1.5509,1.1163,14607.6104,1942.2352,0.6656,0.7308,0.6675,1154.3566,0.1590,0.9633,0.0164,0.9121,1.2020,0.0208,0.2486,1.0880,1.4539,1.9166,0.9681,1.0297,0.8430,1.0966,415.9987,60.6039,18.4524,6.9429,138.1492,74.5156,87.3562,117.5246,RFEnsemble
Rhopalostylis sapida,Ds,0.1006,7.5643,12.2624,39.3857,180.4461,0.3527,1.3069,1.5734,0.7022,24496.9102,1006.3940,0.6005,0.6382,0.7593,2400.6035,0.0826,0.7972,0.0512,1.2468,1.0712,0.0244,0.2236,1.3614,1.4757,1.6136,1.3503,1.3267,1.1413,1.4116,367.0323,52.5264,17.7061,6.2672,122.1792,65.7879,74.0897,108.1291,RFEnsemble
Rhopalostylis sapida,I,0.9748,7.2601,12.1001,37.8686,133.1440,5.4568,175.3899,-38.4088,4.0794,14882.3652,1650.4403,1.6878,-0.1423,0.0005,825.8354,0.9872,0.2685,-0.9998,14.6749,8.8777,0.4620,3.2832,24.7471,5.5515,19.1955,13.0838,16.8582,18.9384,10.5525,1524.1284,251.0583,41.2149,48.4929,558.9249,218.6049,306.3235,459.2113,RFEnsemble
Rhopalostylis sapida,Gr,-0.0818,-4.9431,-7.3920,-23.4651,-343.9491,0.2049,-0.3346,0.8238,-0.5029,-27038.2363,317.5833,0.2528,-0.2400,-0.0804,-1160.5750,-0.0094,0.8722,-0.0011,2.2706,0.2247,0.0159,-0.1610,1.8536,2.0445,-0.1910,2.2132,2.3279,2.0450,2.4527,-126.0891,-10.1967,-10.9244,4.1014,-25.6400,-33.3683,-36.0672,-21.3025,RFEnsemble
Quintinia serrata,D,1.0038,11.0121,17.8020,56.1710,394.5834,5.2044,174.5689,-40.0270,4.6113,40138.6953,1289.5746,1.3853,-0.0220,-0.0218,2063.0510,0.9980,-0.3934,-0.9996,12.4935,9.5389,0.4600,3.5753,23.6064,2.8302,20.7763,11.0756,14.6215,17.1217,7.9735,1619.3879,256.8645,48.9595,45.1943,570.7119,247.5729,335.8889,454.3447,RFEnsemble
Quintinia serrata,Is,0.1226,9.9197,16.2858,53.2013,355.3737,0.4506,2.9528,2.8777,0.9097,20160.8105,1149.0420,0.6132,0.7064,0.7042,4191.4541,0.1939,0.9241,0.0254,2.5066,1.0721,0.0305,0.3173,1.9877,2.9213,1.7708,2.1850,3.4889,2.2044,2.8743,1460.4014,192.8333,74.9082,8.7517,453.8642,292.4121,396.6378,264.4099,RFEnsemble
Quintinia serrata,Ds,0.0974,8.5372,13.8625,44.7634,260.5289,0.4912,1.7612,1.7865,0.7437,23517.5664,1029.0933,0.5578,0.7117,0.7018,3183.3384,0.0632,0.9194,0.0251,1.7024,0.8490,0.0180,0.2602,1.5707,1.9279,1.4988,1.6134,1.8796,1.5530,1.9297,487.8584,68.6620,21.9431,6.4912,155.9181,90.3648,105.6622,120.6998,RFEnsemble
Quintinia serrata,I,1.0514,15.9893,25.0703,80.1269,464.9286,4.9915,174.0696,-39.7374,4.3615,20388.0137,1448.9821,1.4655,-0.0427,0.0574,3567.0891,0.9810,-0.3822,-0.9997,12.4741,7.8335,0.4324,3.2880,22.1542,4.0246,18.1297,11.4794,13.8006,16.7518,8.3523,2705.4299,407.3352,99.2700,42.1969,930.3742,449.6514,612.3196,698.0913,RFEnsemble
Quintinia serrata,Gr,0.0476,4.9772,7.2683,23.9559,70.3453,-0.2130,-0.4993,0.2896,-0.2498,-19750.6816,159.4075,0.0802,-0.0207,0.0792,1504.0381,-0.0169,0.0112,-0.0000,-0.0194,-1.7055,-0.0276,-0.2873,-1.4522,1.1944,-2.6466,0.4037,-0.8209,-0.3699,0.3787,1086.0420,150.4707,50.3105,-2.9975,359.6623,202.0785,276.4306,243.7466,RFEnsemble
Olearia rani,D,1.0285,8.5799,13.7563,43.1041,480.6550,5.3363,175.8424,-39.2391,4.8202,54134.5938,1330.2634,1.4680,-0.0322,0.0825,1463.2095,0.9967,-0.5521,-1.0000,12.2741,9.4658,0.4557,3.6341,23.4241,2.6434,20.7805,10.8551,14.2971,16.9941,7.7039,1558.2798,249.2223,45.9763,45.6528,552.0727,234.3872,330.1675,445.5032,RFEnsemble
Olearia rani,Is,0.1086,8.4086,13.6654,43.9466,228.7200,0.3876,1.6770,2.2994,1.0664,13989.2070,1797.4884,0.6720,0.7047,0.7084,2466.0212,0.1745,0.9830,0.0286,1.8294,1.2764,0.0285,0.2741,1.8181,2.1169,1.9886,1.8006,1.9389,1.6937,2.0509,483.2106,66.2732,23.8159,7.4422,155.3540,90.9733,101.9908,132.8304,RFEnsemble
Olearia rani,Ds,0.0980,6.5790,10.5148,33.1199,199.0053,0.3104,1.1719,1.0512,0.5084,22334.8516,1047.9467,0.5671,0.7213,0.6870,2137.6604,0.0805,0.8338,0.0081,1.0584,0.8683,0.0179,0.1518,1.2843,1.0162,1.2524,1.1156,1.1033,1.0537,1.0735,349.4409,50.4073,15.3561,6.0716,115.0502,60.9623,71.4866,98.4679,RFEnsemble
Olearia rani,I,1.0028,10.1813,16.6337,52.5301,210.5610,5.3113,174.8694,-38.3239,4.0513,13501.0977,1671.0973,1.4904,-0.0309,-0.0226,1558.3236,0.9846,0.1836,-0.9995,14.3772,8.4287,0.4554,3.2019,24.1447,5.6708,18.4740,12.8160,16.5450,18.5472,10.3733,1622.6161,263.2309,47.1799,47.2771,590.1062,238.9098,328.2586,487.8646,RFEnsemble
Olearia rani,Gr,-0.0256,1.6014,2.8775,9.4260,-270.0941,-0.0250,-0.9730,0.9152,-0.7689,-40633.4961,340.8339,0.0223,0.0013,-0.1051,95.1141,-0.0122,0.7357,0.0004,2.1030,-1.0371,-0.0003,-0.4322,0.7206,3.0274,-2.3064,1.9609,2.2479,1.5531,2.6693,64.3363,14.0085,1.2036,1.6243,38.0335,4.5226,-1.9089,42.3614,RFEnsemble
Pectinopitys ferruginea,D,0.9749,4.4429,7.3359,23.4308,170.3442,4.6305,170.9322,-42.6599,4.6001,11740.1562,1977.4640,1.1834,-0.5051,0.4548,809.6307,0.9518,-0.6819,-1.0000,12.2140,8.2612,0.4597,3.0367,21.2576,3.2123,18.0453,12.2762,12.3438,16.1475,8.3758,3356.6582,519.2282,108.1032,41.6324,1148.0559,562.9716,823.2049,768.9384,RFEnsemble
Pectinopitys ferruginea,Is,0.1083,9.2111,14.8027,47.9090,295.3113,0.4933,2.9755,3.0904,0.9880,24143.5527,1328.1083,0.6428,0.7155,0.6985,6661.2051,0.1626,0.9726,0.0554,2.1852,1.2985,0.0290,0.3224,2.1247,2.4501,2.0974,1.9058,2.9485,2.0586,2.4395,1014.9429,140.1497,47.2639,8.1806,328.1006,191.9711,260.0311,218.5849,RFEnsemble
Pectinopitys ferruginea,Ds,0.0853,4.7414,7.3950,23.7378,366.7458,0.2767,1.6906,1.2752,1.0012,26369.1250,1671.2194,0.4116,0.4974,0.5391,1180.9371,0.3069,0.7314,0.0000,1.4502,0.5668,0.0200,0.1853,1.0808,1.2947,0.8481,1.9956,1.2716,1.2456,1.5719,475.4373,84.0881,21.8197,4.1608,170.8332,82.0756,174.9792,71.6529,RFEnsemble
Pectinopitys ferruginea,I,1.0082,11.2738,17.9919,57.1717,370.3730,5.2062,173.6526,-40.6934,4.3243,30251.3125,1430.0961,1.5157,-0.0106,-0.0017,3169.0911,0.9879,-0.2303,-0.9997,12.3806,8.9248,0.4536,3.4354,22.8859,3.2195,19.6664,11.3296,13.9332,16.8135,8.0289,1808.0049,283.3042,58.8827,44.9954,633.6288,285.6389,396.0184,488.2257,RFEnsemble
Pectinopitys ferruginea,Gr,0.0333,6.8309,10.6560,33.7409,200.0287,0.5757,2.7205,1.9664,-0.2759,18511.1562,-547.3679,0.3323,0.4944,-0.4566,2359.4604,0.0361,0.4516,0.0003,0.1666,0.6636,-0.0062,0.3987,1.6282,0.0072,1.6211,-0.9466,1.5895,0.6659,-0.3469,-1548.6533,-235.9240,-49.2205,3.3630,-514.4271,-277.3327,-427.1865,-280.7127,RFEnsemble
Fuscospora fusca,D,1.0363,19.2656,29.5708,95.3234,850.6826,4.8814,171.4405,-43.1493,4.6720,59494.9883,1391.4867,1.3357,0.0612,0.0442,4690.9868,0.9866,-0.7774,-1.0000,9.2183,9.4456,0.4292,3.9997,21.2132,-0.7632,21.9764,8.8821,10.2356,14.3211,4.0618,1797.9564,278.8707,64.4012,42.8285,614.8569,299.4099,400.1617,440.8434,RFEnsemble
Fuscospora fusca,Is,0.1092,8.8769,14.5896,47.4261,290.3483,0.4568,2.9111,2.5787,0.6131,24118.2969,1002.6224,0.6168,0.7192,0.6942,3563.3892,0.0948,0.8286,0.0002,1.7412,1.1456,0.0290,0.2191,1.9543,1.6207,1.6092,1.6063,2.3676,1.7233,1.8337,738.1262,102.4625,33.7900,7.2495,239.0684,137.5962,172.0034,180.2386,RFEnsemble
