Species,Type,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15,Model
Pectinopitys ferruginea,Is,1317.4263,0.7154,0.6986,296.7750,3.0916,1024.4800,9.2136,0.4941,2.1771,0.1081,0.0289,0.9731,2.0901,8.1694,RFEnsemble
Pectinopitys ferruginea,Ds,794.4117,0.4308,0.7416,360.8383,1.6260,898.1312,6.6823,0.3566,1.4414,0.1239,0.0280,0.5904,1.0673,7.1149,RFEnsemble
Pectinopitys ferruginea,I,1428.2397,-0.0132,-0.0004,368.7522,-40.7394,1821.9819,11.1499,5.2033,12.3631,1.0076,0.4538,-0.2294,19.6621,44.9452,RFEnsemble
Pectinopitys ferruginea,Gr,447.2040,0.4072,-0.2965,149.5297,1.7567,-1619.9595,-0.9572,0.5816,0.2138,0.0318,-0.0103,0.5777,1.1585,2.5346,RFEnsemble
Fuscospora fusca,D,1347.8110,-0.0129,0.1006,995.8758,-42.7663,2343.3120,24.9454,4.4924,8.6491,1.0605,0.4215,-0.9338,21.4170,40.9919,RFEnsemble
Fuscospora fusca,Is,1063.7439,0.7210,0.6914,287.8405,2.6633,724.7858,8.5574,0.4487,1.7963,0.1091,0.0286,0.8566,1.7909,7.4068,RFEnsemble
Fuscospora fusca,Ds,945.1360,0.7314,0.6744,217.1939,1.1092,946.4995,8.4403,0.5238,1.0265,0.1051,0.0249,0.3578,1.6407,9.0737,RFEnsemble
Fuscospora fusca,I,1381.0181,0.0203,-0.0419,467.0856,-40.9728,1720.4841,12.8318,5.1821,11.7532,1.0349,0.4486,-0.5160,19.9099,43.3702,RFEnsemble
Fuscospora fusca,Gr,33.2070,0.0333,-0.1426,-528.7902,1.7935,-622.8279,-12.1135,0.6896,3.1041,-0.0256,0.0271,0.4178,-1.5072,2.3782,RFEnsemble
Metrosideros diffusa,D,1464.6257,-0.0419,0.0190,350.2606,-41.1193,1746.9485,10.9896,5.2593,12.3484,0.9979,0.4575,-0.1228,20.0470,46.1415,RFEnsemble
Metrosideros diffusa,Is,999.5774,0.5959,0.7128,267.5480,1.0175,440.2767,6.5759,0.3340,1.5026,0.0897,0.0222,0.2832,1.1808,4.2059,RFEnsemble
Metrosideros diffusa,Ds,1417.1971,0.7198,0.6927,298.1567,3.1647,1085.3217,9.6481,0.4863,2.2457,0.1013,0.0280,0.9930,2.1077,8.7414,RFEnsemble
Metrosideros diffusa,I,1655.1979,0.2931,-0.2255,908.7114,-39.3168,2005.0925,14.6691,4.7765,9.9720,1.1694,0.4004,-0.9591,17.8499,37.3774,RFEnsemble
Metrosideros diffusa,Gr,190.5721,0.3350,-0.2445,558.4508,1.8025,258.1440,3.6795,-0.4828,-2.3764,0.1715,-0.0572,-0.8362,-2.1970,-8.7641,RFEnsemble
Coprosma foetidissima,D,1707.6599,-0.0042,0.0131,456.7900,-44.6867,1674.8370,11.0209,5.1703,10.0406,1.0317,0.4494,-0.0963,18.5776,39.4960,RFEnsemble
Coprosma foetidissima,Is,991.0165,0.7306,0.6757,302.3248,2.5429,1282.3612,10.3661,0.5015,2.0157,0.1107,0.0323,0.7984,1.9869,7.9792,RFEnsemble
Coprosma foetidissima,Ds,1372.2316,0.6950,0.7189,531.3054,2.4235,975.1537,10.3829,0.5593,1.7532,0.1232,0.0453,0.9954,1.9575,5.3828,RFEnsemble
Coprosma foetidissima,I,1313.8760,-0.0704,-0.0683,532.7579,-41.3074,2197.3191,15.2476,5.0047,11.3049,1.0326,0.4407,-0.6022,19.8982,42.3255,RFEnsemble
Coprosma foetidissima,Gr,-393.7839,-0.0662,-0.0814,75.9679,3.3792,522.4821,4.2267,-0.1656,1.2643,0.0009,-0.0087,-0.5059,1.3206,2.8295,RFEnsemble
Lophozonia menziesii,D,1427.2142,0.1652,-0.0293,916.7995,-43.8676,1985.4587,20.8911,4.6673,8.4240,1.0737,0.4186,-0.7711,20.3300,38.3933,RFEnsemble
Lophozonia menziesii,Is,1073.1271,0.7033,0.7089,291.8852,2.6942,1223.5590,9.4271,0.4584,1.7147,0.1122,0.0350,0.8827,2.1710,7.8139,RFEnsemble
Lophozonia menziesii,Ds,978.3300,0.7853,0.5960,335.6436,1.7448,892.3259,10.8179,0.5389,1.1597,0.0982,0.0322,0.6367,1.9969,8.0602,RFEnsemble
Lophozonia menziesii,I,1353.0524,-0.0498,-0.0211,458.1758,-41.4694,1968.5813,13.2978,5.1742,11.5976,1.0217,0.4477,-0.4701,20.0035,43.6880,RFEnsemble
Lophozonia menziesii,Gr,-74.1619,-0.2150,0.0083,-458.6237,2.3982,-16.8774,-7.5933,0.5069,3.1737,-0.0520,0.0291,0.3010,-0.3265,5.2947,RFEnsemble
Brachyglottis repanda,D,1315.6545,-0.0044,0.0338,396.3034,-39.4529,1686.7125,10.1046,5.2813,12.7125,1.0133,0.4571,-0.6585,20.2123,45.8752,RFEnsemble
Brachyglottis repanda,Is,2481.0439,0.6958,0.7131,228.1898,2.7318,367.0006,7.8877,0.3500,1.9071,0.1061,0.0309,0.8552,1.9954,6.9829,RFEnsemble
Brachyglottis repanda,Ds,1086.5469,0.7287,0.6840,259.6763,1.4737,516.4724,7.5043,0.4222,1.5538,0.1086,0.0224,0.7525,1.6612,7.8820,RFEnsemble
Brachyglottis repanda,I,2091.2124,-0.0649,-0.0555,235.7151,-38.7236,1501.2996,12.2675,5.3235,14.1857,1.0381,0.4458,0.5184,17.9753,47.7484,RFEnsemble
Brachyglottis repanda,Gr,775.5579,-0.0605,-0.0893,-160.5883,0.7293,-185.4130,2.1629,0.0422,1.4732,0.0247,-0.0112,1.1769,-2.2370,1.8732,RFEnsemble
Archeria traversii,D,1378.9729,0.0946,-0.0944,500.9301,-41.2627,1994.0424,14.5835,5.0596,11.4054,1.0608,0.4378,-0.6669,18.5371,40.8246,RFEnsemble
Archeria traversii,Is,1064.7686,0.7532,0.6314,362.6429,1.5503,1592.8843,9.8998,0.2982,1.6834,0.1126,0.0428,0.3550,2.3935,7.4346,RFEnsemble
Archeria traversii,Ds,976.5155,0.6641,0.7356,340.9125,3.1211,728.3128,7.9280,0.3849,2.1208,0.1131,0.0335,0.7452,1.6551,6.4933,RFEnsemble
Archeria traversii,I,1501.8131,-0.0962,0.1576,772.8933,-42.9852,3432.0999,25.1442,4.4845,9.5485,1.0485,0.4165,-0.9347,19.8618,37.9996,RFEnsemble
Archeria traversii,Gr,122.8402,-0.1908,0.2520,271.9633,-1.7224,1438.0575,10.5606,-0.5751,-1.8569,-0.0123,-0.0213,-0.2678,1.3247,-2.8250,RFEnsemble
Cyathea dealbata,D,1309.4960,-0.2367,-0.0425,590.9296,-40.3509,2421.2478,17.8315,4.5462,11.3150,1.0741,0.4263,-0.9126,18.8410,36.3231,RFEnsemble
Cyathea dealbata,Is,1645.2986,0.7085,0.7056,210.7667,1.9235,381.2814,7.1486,0.2632,1.5946,0.1018,0.0215,0.9989,2.0005,6.8225,RFEnsemble
Cyathea dealbata,Ds,960.4196,0.6898,0.6829,250.2894,1.5819,496.7006,7.8198,0.2522,1.0889,0.1075,0.0255,0.4089,1.9110,4.5806,RFEnsemble
Cyathea dealbata,I,1508.8353,-0.0011,-0.0087,264.3212,-38.9008,1494.8888,8.7906,5.4306,13.7402,0.9965,0.4606,-0.0480,19.6545,48.3186,RFEnsemble
Cyathea dealbata,Gr,199.3394,0.2356,0.0338,-326.6085,1.4501,-926.3590,-9.0409,0.8845,2.4252,-0.0776,0.0343,0.8646,0.8135,11.9955,RFEnsemble
Coprosma lucida,D,1569.2712,0.1321,0.0205,619.1813,-39.8570,1755.6483,15.5221,5.1869,11.5636,1.0812,0.4376,-0.9338,19.6138,43.2895,RFEnsemble
Coprosma lucida,Is,1644.0664,0.7105,0.6983,274.6908,3.5681,1311.4006,9.9258,0.5414,2.4158,0.0899,0.0302,0.9603,2.2689,9.2532,RFEnsemble
Coprosma lucida,Ds,1211.1046,0.6857,0.7155,356.8942,1.7968,544.7446,8.4933,0.4002,2.1872,0.1079,0.0311,0.3578,1.8339,7.4653,RFEnsemble
Coprosma lucida,I,1490.3972,-0.0728,-0.0477,265.5063,-41.6192,1822.9983,8.7987,5.2561,12.5014,0.9712,0.4611,0.2786,19.8526,46.5844,RFEnsemble
Coprosma lucida,Gr,-78.8740,-0.2049,-0.0682,-353.6750,-1.7622,67.3500,-6.7233,0.0692,0.9378,-0.1100,0.0235,1.2125,0.2388,3.2950,RFEnsemble
Cyathea cunninghamii,D,1948.0339,-0.0326,0.0798,333.9790,-39.4229,2168.3674,16.3868,4.9427,13.2798,1.0335,0.4301,-0.1463,17.4075,44.5366,RFEnsemble
Cyathea cunninghamii,Is,1100.3856,0.7171,0.6959,208.0517,1.5353,556.7709,6.6849,0.2579,1.3180,0.1036,0.0194,0.9804,1.5958,7.0506,RFEnsemble
Cyathea cunninghamii,Ds,1956.6573,0.7119,0.6970,250.2422,3.1256,1306.4301,9.1563,0.5256,2.4607,0.1068,0.0288,0.9892,2.2181,7.9792,RFEnsemble
Cyathea cunninghamii,I,1253.8271,-0.0244,-0.0311,292.1981,-39.0908,1637.9521,8.3872,5.4200,13.4227,0.9993,0.4617,-0.1961,19.9943,46.9682,RFEnsemble
Cyathea cunninghamii,Gr,-694.2068,0.0082,-0.1108,-41.7809,0.3321,-530.4153,-7.9997,0.4772,0.1428,-0.0342,0.0315,-0.0498,2.5868,2.4316,RFEnsemble
Metrosideros fulgens,D,1332.2601,-0.0292,0.0082,254.9660,-39.5716,1904.3766,10.3461,5.2566,13.4567,0.9830,0.4634,-0.1773,19.8933,46.4392,RFEnsemble
Metrosideros fulgens,Is,1258.8345,0.6995,0.7117,213.7703,1.3956,438.8298,8.1068,0.3874,1.4243,0.0868,0.0218,0.7366,1.5904,5.3840,RFEnsemble
Metrosideros fulgens,Ds,1252.4296,0.7167,0.6967,200.8755,2.3405,1033.7784,8.4340,0.4440,1.6981,0.0961,0.0191,0.9842,1.7432,7.8415,RFEnsemble
Metrosideros fulgens,I,1608.3846,0.0333,0.0555,676.3003,-38.8524,1968.6948,14.2465,4.9873,11.5703,1.1419,0.4111,-0.6764,17.6446,40.2687,RFEnsemble
Metrosideros fulgens,Gr,276.1245,0.0625,0.0473,421.3343,0.7192,64.3182,3.9004,-0.2693,-1.8864,0.1590,-0.0523,-0.4991,-2.2487,-6.1705,RFEnsemble
Dicksonia squarrosa,D,1379.2452,-0.0067,0.0352,176.9217,-39.1296,1622.5447,7.0603,5.3667,14.0445,0.9785,0.4689,0.2122,19.6953,48.2887,RFEnsemble
Dicksonia squarrosa,Is,1433.3829,0.7035,0.7086,276.0506,2.4945,1009.8164,9.5602,0.4560,1.6470,0.1113,0.0286,0.6974,2.4180,6.5308,RFEnsemble
Dicksonia squarrosa,Ds,1455.3428,0.7294,0.6831,170.6280,2.8035,824.1732,6.4232,0.4140,1.7745,0.0913,0.0184,0.9772,1.6708,8.3049,RFEnsemble
Dicksonia squarrosa,I,1640.5669,0.0179,-0.0510,613.8701,-40.7537,2040.6930,16.6637,4.9894,11.1649,1.0658,0.4321,-0.7167,19.2058,42.3103,RFEnsemble
Dicksonia squarrosa,Gr,261.3217,0.0246,-0.0862,436.9484,-1.6241,418.1483,9.6034,-0.3773,-2.8796,0.0874,-0.0368,-0.9289,-0.4894,-5.9784,RFEnsemble
Neomyrtus pedunculata,D,2051.7610,0.3933,0.1418,594.2133,-40.3608,1711.6005,7.7388,5.1085,11.0879,1.0996,0.4407,-0.4596,19.1782,40.0424,RFEnsemble
Neomyrtus pedunculata,Is,1097.5040,0.7018,0.7096,308.4323,2.8862,1071.3125,9.6003,0.5124,2.1290,0.1030,0.0301,0.9555,2.1291,8.9568,RFEnsemble
Neomyrtus pedunculata,Ds,1335.6821,0.6865,0.5949,322.9288,3.1982,417.7711,6.9332,0.4058,1.0020,0.1087,0.0268,0.8881,1.5168,3.9430,RFEnsemble
Neomyrtus pedunculata,I,1303.1472,-0.0445,-0.0437,399.7986,-41.4527,1803.7313,12.2167,5.1927,11.9367,1.0004,0.4534,-0.2940,20.1357,45.4371,RFEnsemble
Neomyrtus pedunculata,Gr,-748.6138,-0.4379,-0.1855,-194.4146,-1.0919,92.1309,4.4779,0.0843,0.8488,-0.0991,0.0128,0.1656,0.9575,5.3948,RFEnsemble
Pseudowintera colorata,D,2440.3062,-0.0770,0.0989,772.1362,-41.4668,2038.4266,14.6775,4.7971,9.9063,1.1371,0.4175,-0.5916,18.0244,37.4277,RFEnsemble
Pseudowintera colorata,Is,1010.5057,0.7137,0.6996,317.7835,2.8056,1197.7430,9.8412,0.4978,2.0424,0.1050,0.0314,0.9127,2.0765,8.4033,RFEnsemble
Pseudowintera colorata,Ds,1632.4274,0.6934,0.7095,485.6282,3.0632,759.5491,11.8087,0.5585,1.6787,0.1239,0.0473,0.8062,1.8696,5.8010,RFEnsemble
Pseudowintera colorata,I,1315.9393,0.0209,-0.0279,477.3618,-41.8548,1905.4883,13.8291,5.1504,11.3899,1.0181,0.4481,-0.4089,20.1552,43.8840,RFEnsemble
Pseudowintera colorata,Gr,-1124.3668,0.0979,-0.1269,-294.7744,-0.3880,-132.9384,-0.8484,0.3532,1.4837,-0.1189,0.0307,0.1827,2.1309,6.4562,RFEnsemble
Metrosideros robusta,D,1232.2098,0.3001,0.0517,385.8809,-38.4477,1781.3196,12.5663,5.2158,13.3017,1.0432,0.4561,-0.1169,19.4049,46.0745,RFEnsemble
Metrosideros robusta,Is,1646.6371,0.5555,0.7872,201.1429,1.9794,551.3553,7.4300,0.4411,1.4885,0.0999,0.0201,0.9049,1.9690,7.0963,RFEnsemble
Metrosideros robusta,Ds,1069.3185,0.7629,0.5703,308.1220,1.8980,528.1004,8.3134,0.4101,2.1149,0.1181,0.0320,0.9931,1.9833,7.8237,RFEnsemble
Metrosideros robusta,I,1769.4305,-0.2589,-0.0688,305.2015,-40.0049,1622.7708,9.7864,5.2774,13.0477,1.0035,0.4448,-0.4256,18.9915,45.3541,RFEnsemble
Metrosideros robusta,Gr,537.2207,-0.5590,-0.1206,-80.6794,-1.5572,-158.5488,-2.7800,0.0616,-0.2540,-0.0397,-0.0114,-0.3088,-0.4134,-0.7205,RFEnsemble
Nestegis cunninghamii,D,1915.0350,-0.1359,0.0920,775.1160,-38.2219,2071.7422,13.4877,4.9705,11.4114,1.2033,0.4073,-0.6802,17.7918,38.8833,RFEnsemble
Nestegis cunninghamii,Is,1199.8038,0.7209,0.6922,312.4955,2.5712,607.3036,8.7863,0.4709,2.2071,0.1025,0.0251,0.9513,1.9707,8.0715,RFEnsemble
Nestegis cunninghamii,Ds,1103.9753,0.6849,0.7099,242.2289,0.8190,456.8118,7.7007,0.3584,1.6070,0.0626,0.0263,0.7330,1.5758,4.8345,RFEnsemble
Nestegis cunninghamii,I,1359.2687,-0.0070,-0.0328,384.0917,-40.3546,1638.2670,11.6190,5.2173,12.5156,1.0069,0.4550,-0.3101,19.9405,45.9923,RFEnsemble
Nestegis cunninghamii,Gr,-555.7664,0.1289,-0.1248,-391.0243,-2.1327,-433.4752,-1.8687,0.2468,1.1042,-0.1964,0.0478,0.3701,2.1488,7.1091,RFEnsemble
Myrsine salicina,D,1670.7098,0.4327,-0.1887,451.9585,-38.9241,1728.5153,11.9796,5.2491,12.8056,1.0790,0.4226,-0.3172,17.4408,44.5375,RFEnsemble
Myrsine salicina,Is,1058.3676,0.6899,0.6936,280.4705,2.2574,771.9130,8.5119,0.4832,1.8810,0.1074,0.0229,0.9178,1.7094,7.4476,RFEnsemble
Myrsine salicina,Ds,1566.4303,0.6143,0.6323,322.5304,1.6428,676.3810,8.5367,0.4192,2.1381,0.1079,0.0251,0.9484,1.5858,6.9088,RFEnsemble
Myrsine salicina,I,1316.3994,-0.1948,0.0701,370.6274,-39.8904,1953.4197,11.8782,5.0987,12.6709,1.0068,0.4582,-0.3975,20.0802,44.0686,RFEnsemble
Myrsine salicina,Gr,-354.3104,-0.6275,0.2589,-81.3311,-0.9664,224.9044,-0.1014,-0.1504,-0.1347,-0.0722,0.0355,-0.0804,2.6394,-0.4689,RFEnsemble
Pittosporum eugenioides,D,1717.7811,0.4919,-0.1081,206.6840,-44.1097,906.4692,5.0233,5.6822,11.6961,0.9605,0.4762,0.5656,21.0162,51.8816,RFEnsemble
Pittosporum eugenioides,Is,1278.6079,0.7001,0.7104,352.6975,2.6896,1021.8811,9.8430,0.4791,2.3778,0.1125,0.0299,0.8996,2.0225,8.0187,RFEnsemble
Pittosporum eugenioides,Ds,1699.8270,0.6056,0.6161,235.1463,2.4195,264.5428,6.8265,0.3437,1.5275,0.0675,0.0201,0.8247,2.3945,10.4218,RFEnsemble
Pittosporum eugenioides,I,1409.9426,-0.0708,-0.0131,495.7448,-40.6197,1978.7513,13.7084,5.0891,11.8399,1.0312,0.4442,-0.4366,19.8385,43.4811,RFEnsemble
